epochs steps out_loss offset_loss train_accuracy time
9 0 0.175 477.582 0.950 6.248
9 1 0.150 478.909 0.957 10.880
9 2 0.210 479.705 0.933 15.559
9 3 0.219 491.473 0.930 20.141
9 4 0.198 481.625 0.942 24.674
9 5 0.206 484.622 0.932 28.956
9 6 0.209 477.304 0.932 33.312
9 7 0.211 498.726 0.933 37.652
9 8 0.211 465.239 0.933 41.975
9 9 0.197 476.020 0.939 46.223
9 10 0.215 464.020 0.921 50.456
9 11 0.221 481.236 0.918 54.582
9 12 0.216 423.820 0.928 58.675
9 13 0.220 487.187 0.938 62.914
9 14 0.208 491.912 0.936 67.065
9 15 0.204 465.116 0.940 71.137
9 16 0.212 464.975 0.924 75.292
9 17 0.226 489.756 0.911 79.363
9 18 0.207 467.528 0.934 83.408
9 19 0.217 486.464 0.913 87.532
9 20 0.233 490.911 0.908 91.619
9 21 0.219 479.718 0.926 95.773
9 22 0.220 492.110 0.933 100.003
9 23 0.221 459.016 0.913 104.151
9 24 0.226 453.498 0.918 108.303
9 25 0.219 464.807 0.917 112.482
9 26 0.224 457.942 0.915 116.693
9 27 0.211 451.815 0.927 120.720
9 28 0.224 483.979 0.925 124.848
9 29 0.199 486.078 0.924 128.909
9 30 0.196 469.283 0.927 133.179
9 31 0.225 489.552 0.925 137.271
9 32 0.204 462.687 0.925 141.519
9 33 0.229 463.741 0.917 145.726
9 34 0.244 475.095 0.903 149.913
9 35 0.250 454.762 0.905 154.104
9 36 0.251 466.780 0.904 158.222
9 37 0.289 454.981 0.895 162.268
9 38 0.281 468.004 0.892 166.359
9 39 0.273 456.574 0.890 170.375
9 40 0.252 460.446 0.910 174.493
9 41 0.284 474.207 0.889 178.690
9 42 0.276 443.834 0.884 182.723
9 43 0.272 453.439 0.896 186.850
9 44 0.273 441.584 0.888 190.878
9 45 0.269 493.287 0.895 194.941
9 46 0.258 468.788 0.903 198.945
9 47 0.265 488.506 0.889 202.966
9 48 0.261 470.938 0.890 206.990
9 49 0.269 501.020 0.885 211.100
9 50 0.262 479.592 0.896 215.141
9 51 0.250 497.820 0.903 219.187
9 52 0.384 476.917 0.860 223.311
9 53 0.277 443.591 0.888 227.432
9 54 0.265 460.130 0.890 231.488
9 55 0.272 459.540 0.887 235.663
9 56 0.264 472.541 0.891 239.728
9 57 0.282 474.916 0.889 243.802
9 58 0.274 453.354 0.902 247.855
9 59 0.255 489.102 0.918 252.004
9 60 0.256 483.994 0.894 256.161
9 61 0.249 460.505 0.900 260.214
9 62 0.236 481.156 0.914 264.287
9 63 0.232 453.288 0.918 268.410
9 64 0.231 470.691 0.918 272.667
9 65 0.205 459.697 0.930 276.909
9 66 0.239 483.112 0.915 280.950
9 67 0.200 463.834 0.939 285.114
9 68 0.210 461.765 0.941 289.198
9 69 0.211 454.220 0.941 293.303
9 70 0.221 484.227 0.944 297.381
9 71 0.209 482.415 0.940 301.551
9 72 0.280 467.622 0.901 305.642
9 73 0.307 474.967 0.906 309.864
9 74 0.228 443.471 0.929 313.919
9 75 0.244 481.740 0.925 318.106
9 76 0.246 489.006 0.934 322.228
9 77 0.240 461.626 0.930 326.322
9 78 0.211 490.825 0.941 330.461
9 79 0.217 517.034 0.940 334.515
9 80 0.215 475.777 0.938 338.612
9 81 0.220 492.872 0.942 342.716
9 82 0.269 480.461 0.928 346.822
9 83 0.242 491.249 0.935 350.919
9 84 0.199 465.149 0.945 354.958
9 85 0.199 473.702 0.939 359.205
9 86 0.207 473.559 0.937 363.315
9 87 0.172 463.617 0.955 367.276
9 88 0.245 491.797 0.921 371.297
9 89 0.158 460.792 0.957 375.245
9 90 0.152 498.389 0.957 379.248
9 91 0.231 466.316 0.944 383.183
9 92 0.202 488.667 0.946 387.165
9 93 0.175 466.852 0.954 391.149
9 94 0.197 503.385 0.944 395.264
9 95 0.214 449.288 0.931 399.497
9 96 0.211 468.936 0.937 403.490
9 97 0.225 469.518 0.935 407.431
9 98 0.219 478.528 0.942 411.403
9 99 0.218 497.932 0.942 415.520
9 100 0.226 483.057 0.929 419.679
9 101 0.214 480.564 0.934 423.992
9 102 0.235 475.714 0.935 428.226
9 103 0.224 456.324 0.934 432.323
9 104 0.236 470.277 0.933 436.501
9 105 0.233 457.296 0.933 440.571
