epoch step loss mIoU lr
1 1000 254.2963 77.252 0.000050
2 1000 253.6905 93.492 0.000050
3 1000 254.0210 95.683 0.000050
4 1000 253.6819 96.399 0.000050
5 1000 252.6932 96.779 0.000050
6 1000 253.5723 97.027 0.000050
7 1000 253.7356 97.199 0.000050
8 1000 253.5176 97.338 0.000050
9 1000 253.7448 97.464 0.000050
10 1000 253.8248 97.578 0.000050
11 1000 253.0850 97.687 0.000050
12 1000 253.6044 97.785 0.000050
13 1000 253.1544 97.885 0.000050
14 1000 253.6103 97.985 0.000050
15 1000 253.2226 98.076 0.000050
16 1000 253.3314 98.157 0.000050
17 1000 253.8255 98.246 0.000050
18 1000 253.7186 98.328 0.000050
19 1000 253.2541 98.405 0.000050
20 1000 253.5558 98.480 0.000050
21 1000 253.7647 98.559 0.000050
22 1000 253.3838 98.620 0.000050
23 1000 253.4710 98.695 0.000050
24 1000 253.2810 98.754 0.000050
25 1000 253.8372 98.809 0.000050
26 1000 253.6428 98.865 0.000050
27 1000 253.4649 98.916 0.000050
28 1000 253.5512 98.966 0.000050
29 1000 254.5045 99.006 0.000050
30 1000 253.7192 99.050 0.000050
31 1000 253.8973 99.087 0.000050
32 1000 253.5006 99.119 0.000050
33 1000 253.4787 99.151 0.000050
34 1000 253.9951 99.180 0.000050
35 1000 253.5132 99.210 0.000050
36 1000 254.2093 99.234 0.000050
37 1000 253.6428 99.256 0.000050
38 1000 252.9161 99.286 0.000050
39 1000 254.5210 99.297 0.000050
40 1000 253.6552 99.317 0.000050
41 1000 253.7459 99.339 0.000050
42 1000 253.8718 99.350 0.000050
43 1000 254.0349 99.368 0.000050
44 1000 253.8230 99.385 0.000050
45 1000 253.8400 99.394 0.000050
46 1000 253.9194 99.419 0.000050
47 1000 253.9579 99.418 0.000050
48 1000 253.3656 99.433 0.000050
49 1000 253.9989 99.451 0.000050
50 1000 253.6459 99.459 0.000050
51 1000 253.7686 99.466 0.000050
52 1000 253.6990 99.484 0.000050
53 1000 253.3700 99.485 0.000050
54 1000 253.2908 99.496 0.000050
55 1000 252.7639 99.504 0.000050
56 1000 254.3506 99.513 0.000050
57 1000 253.1114 99.522 0.000050
58 1000 254.1726 99.530 0.000050
59 1000 253.1921 99.536 0.000050
60 1000 253.9671 99.540 0.000050
61 1000 253.7631 99.548 0.000050
62 1000 253.6431 99.554 0.000050
63 1000 253.8027 99.563 0.000050
64 1000 254.0552 99.568 0.000050
65 1000 253.4154 99.574 0.000050
66 1000 253.8219 99.576 0.000050
67 1000 253.2929 99.583 0.000050
68 1000 253.9121 99.592 0.000050
69 1000 253.5988 99.593 0.000050
70 1000 253.6704 99.599 0.000050
71 1000 254.0571 99.606 0.000050
72 1000 253.4610 99.603 0.000050
73 1000 253.4583 99.614 0.000050
74 1000 253.6006 99.617 0.000050
75 1000 254.2132 99.615 0.000050
76 1000 253.5242 99.623 0.000050
77 1000 253.1318 99.626 0.000050
78 1000 253.5685 99.632 0.000050
79 1000 253.7870 99.631 0.000050
80 1000 253.1562 99.638 0.000050
81 1000 253.8316 99.643 0.000050
82 1000 253.6473 99.647 0.000050
83 1000 253.9558 99.654 0.000050
84 1000 253.2974 99.651 0.000050
85 1000 253.3687 99.654 0.000050
86 1000 253.6817 99.655 0.000050
87 1000 253.6929 99.657 0.000050
88 1000 252.8965 99.662 0.000050
89 1000 253.5402 99.665 0.000050
90 1000 253.7543 99.666 0.000050
91 1000 253.5787 99.672 0.000050
92 1000 253.4823 99.670 0.000050
93 1000 253.7384 99.674 0.000050
94 1000 253.7969 99.681 0.000050
95 1000 254.1651 99.681 0.000050
96 1000 253.0871 99.684 0.000050
97 1000 253.5954 99.682 0.000050
98 1000 253.2236 99.688 0.000050
99 1000 253.7446 99.689 0.000050
100 1000 253.8130 99.691 0.000050
101 1000 253.6206 99.693 0.000050
102 1000 253.6027 99.696 0.000050
103 1000 253.5603 99.701 0.000050
104 1000 253.9476 99.700 0.000050
105 1000 253.6281 99.699 0.000050
106 1000 253.5551 99.708 0.000050
107 1000 253.5797 99.702 0.000050
108 1000 254.1382 99.705 0.000050
109 1000 253.5013 99.709 0.000050
110 1000 253.5875 99.707 0.000050
111 1000 253.7973 99.712 0.000050
112 1000 253.9110 99.716 0.000025
113 1000 253.6844 99.721 0.000025
114 1000 253.5095 99.716 0.000025
115 1000 253.1553 99.715 0.000025
116 1000 253.6024 99.716 0.000025
117 1000 253.7157 99.720 0.000025
118 1000 254.4530 99.718 0.000025
119 1000 253.6172 99.720 0.000013
120 1000 252.6806 99.723 0.000013
121 1000 253.9581 99.723 0.000013
122 1000 253.6140 99.721 0.000013
123 1000 253.7649 99.723 0.000013
124 1000 253.4884 99.724 0.000013
125 1000 253.6619 99.721 0.000006
126 1000 253.7771 99.726 0.000006
127 1000 253.5904 99.724 0.000006
128 1000 253.4280 99.721 0.000006
129 1000 253.6113 99.723 0.000006
130 1000 253.2637 99.723 0.000006
131 1000 253.8684 99.727 0.000003
132 1000 253.5436 99.730 0.000003
133 1000 253.5504 99.724 0.000003
134 1000 253.4684 99.729 0.000003
135 1000 253.5798 99.728 0.000003
136 1000 253.3402 99.731 0.000003
137 1000 253.5028 99.727 0.000003
138 1000 253.5776 99.729 0.000003
139 1000 253.7898 99.729 0.000003
140 1000 253.2110 99.728 0.000003
141 1000 253.9900 99.729 0.000003
142 1000 254.0561 99.729 0.000002
143 1000 253.8062 99.727 0.000002
144 1000 252.9509 99.728 0.000002
145 1000 253.9274 99.728 0.000002
146 1000 253.9314 99.728 0.000002
147 1000 253.7910 99.725 0.000002
148 1000 253.5579 99.726 0.000001
149 1000 253.0745 99.729 0.000001
150 1000 253.9102 99.732 0.000001
151 1000 253.6803 99.729 0.000001
152 1000 254.0001 99.726 0.000001
153 1000 253.9758 99.730 0.000001
154 1000 254.1192 99.729 0.000000
