frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0005_overlay_go1_uncertainty_clean.ply,59,8.913929,0.3175032,-1.2171443,3.4969888,2.12832,0.3657268,5.944881,3.618144,0.6217356,13.373181343078613
frame_0006_overlay_go1_uncertainty_clean.ply,47,8.727905,-0.047931418,-1.2328576,3.473091,1.9027001,0.3017812,5.9042544,3.2345903,0.5130281,9.7977294921875
frame_0007_overlay_go1_uncertainty_clean.ply,64,8.457844,-0.006857004,-1.2445445,3.8071704,2.2907386,0.32376027,6.47219,3.8942556,0.55039245,13.87229061126709
frame_0008_overlay_go1_uncertainty_clean.ply,58,8.325384,-0.122698374,-1.2157353,4.218257,2.0176947,0.3323418,7.171037,3.4300811,0.56498104,13.896973609924316
frame_0009_overlay_go1_uncertainty_clean.ply,50,8.874218,0.0595333,-1.274911,3.6836038,2.0557308,0.22233382,6.2621264,3.4947424,0.3779675,8.271636962890625
frame_0010_overlay_go1_uncertainty_clean.ply,55,8.922884,-0.12132219,-1.2325746,3.940149,2.1669612,0.39959788,6.6982536,3.683834,0.6793164,16.762306213378906
frame_0011_overlay_go1_uncertainty_clean.ply,54,8.848619,-0.071677625,-1.2396878,3.5135,2.463716,0.3109493,5.97295,4.1883173,0.5286138,13.224124908447266
frame_0012_overlay_go1_uncertainty_clean.ply,60,8.706013,0.13138142,-1.2468702,4.0502205,1.9785647,0.28059226,6.885375,3.3635602,0.47700685,11.04718017578125
frame_0013_overlay_go1_uncertainty_clean.ply,66,9.0106325,-0.07201289,-1.2185239,4.372138,2.5369983,0.3680057,7.432635,4.312897,0.6256097,20.054662704467773
frame_0014_overlay_go1_uncertainty_clean.ply,81,9.487585,-0.56450105,-1.167623,4.476764,2.5024376,0.28368747,7.6104994,4.254144,0.48226872,15.61401081085205
frame_0015_overlay_go1_uncertainty_clean.ply,86,9.468075,-0.34781617,-1.1590186,4.4357953,2.4179122,0.36150408,7.540852,4.1104507,0.61455697,19.048994064331055
frame_0019_overlay_go1_uncertainty_clean.ply,74,9.01277,-0.2964568,-1.2200031,3.9691703,2.5651793,0.32620966,6.7475896,4.360805,0.5545564,16.317779541015625
frame_0024_overlay_go1_uncertainty_clean.ply,33,11.38403,-1.6110951,-0.9455071,0.21381758,0.1817728,0.11573274,0.3634899,0.30901375,0.19674566,0.02209913730621338
frame_0027_overlay_go1_uncertainty_clean.ply,32,11.256921,-1.582345,-0.95110226,0.18019328,0.16751741,0.12955359,0.30632856,0.2847796,0.2202411,0.019212981685996056
frame_0030_overlay_go1_uncertainty_clean.ply,32,11.10191,-1.5432484,-0.9321591,0.22943579,0.1415696,0.08952304,0.39004084,0.24066833,0.15218917,0.014286069199442863
frame_0031_overlay_go1_uncertainty_clean.ply,30,10.977942,-1.4900095,-0.9515429,0.22702193,0.12768249,0.10012985,0.3859373,0.21706024,0.17022075,0.014259671792387962
frame_0032_overlay_go1_uncertainty_clean.ply,36,10.921191,-1.4875746,-0.9734658,0.202348,0.17863874,0.12482263,0.3439916,0.30368587,0.21219848,0.022167397662997246
