frame,centroid_x,centroid_y,centroid_z,robot_points,window_start,window_end
0005,8.913929,0.3175032,-1.2171443,59,0,5
0006,8.727905,-0.047931418,-1.2328576,47,0,6
0007,8.457844,-0.006857004,-1.2445445,64,0,7
0008,8.325384,-0.122698374,-1.2157353,58,0,8
0009,8.874218,0.0595333,-1.274911,50,0,9
0010,8.922884,-0.12132219,-1.2325746,55,0,10
0011,8.848619,-0.071677625,-1.2396878,54,0,11
0012,8.706013,0.13138142,-1.2468702,60,0,12
0013,9.0106325,-0.07201289,-1.2185239,66,0,13
0014,9.487585,-0.56450105,-1.167623,81,0,14
0015,9.468075,-0.34781617,-1.1590186,86,1,15
0019,9.01277,-0.2964568,-1.2200031,74,5,19
0024,11.38403,-1.6110951,-0.9455071,33,10,24
0027,11.256921,-1.582345,-0.95110226,32,13,27
0030,11.10191,-1.5432484,-0.9321591,32,16,30
0031,10.977942,-1.4900095,-0.9515429,30,17,31
0032,10.921191,-1.4875746,-0.9734658,36,18,32
0034,10.8027,-1.4383751,-0.9645221,36,20,34
0036,10.619353,-1.3988086,-0.98836434,36,22,36
0038,10.449041,-1.3269378,-0.99164945,41,24,38
0039,10.405623,-1.3179636,-1.0086263,48,25,39
0040,9.5701275,-0.8307978,-1.1356356,85,26,40
0041,10.289725,-1.2806506,-1.0039774,45,27,41
0043,10.122165,-1.214775,-1.0067239,46,29,43
0044,10.092559,-1.2260569,-1.0056797,48,30,44
0045,10.172142,-1.2436656,-1.0295712,56,31,45
0047,10.046985,-1.1999159,-1.0242239,42,33,47
0049,9.441544,-0.4116284,-1.1902397,94,35,49
0051,10.008409,-1.1278099,-1.0120561,37,37,51
0053,9.823159,-1.0828121,-1.0424932,39,39,53
0054,9.788415,-1.0580559,-1.0326835,44,40,54
0055,9.759743,-1.061484,-1.0681145,56,41,55
0056,9.69272,-1.0493268,-1.0551623,56,42,56
0057,9.638409,-1.0428487,-1.0569354,54,43,57
0058,9.586226,-1.0254129,-1.0425948,55,44,58
0059,9.53266,-0.9818702,-1.0524275,51,45,59
0060,9.480176,-0.9705488,-1.0576447,56,46,60
0061,9.901792,-1.0846075,-1.0282482,37,47,61
0062,9.41261,-0.944404,-1.0716709,46,48,62
0063,9.372,-0.9291674,-1.0781916,55,49,63
0064,9.270626,-0.8743899,-1.0840306,52,50,64
0065,9.235342,-0.8615912,-1.0828663,57,51,65
0066,9.255746,-0.88268465,-1.058837,71,52,66
0067,9.187862,-0.8547967,-1.0702488,63,53,67
0068,8.813654,-0.50693256,-1.1957854,103,54,68
0069,9.1299305,-0.82890314,-1.0825031,51,55,69
0070,9.114223,-0.8308992,-1.0835162,51,56,70
0071,9.098238,-0.8247663,-1.0744843,45,57,71
0073,9.108061,-0.8339036,-1.0759387,58,59,73
0074,8.9750185,-0.45561787,-1.1902647,102,60,74
0077,8.746214,-0.12560467,-1.2452937,78,63,77
0078,8.967794,-0.7437366,-1.0913619,52,64,78
0080,8.884961,-0.74236745,-1.0921849,48,66,80
0081,8.927726,-0.7562014,-1.1049111,68,67,81
0082,8.87174,-0.7223275,-1.1022295,59,68,82
0083,8.865603,-0.69116133,-1.103248,48,69,83
0084,9.178426,-0.8533137,-1.0701016,46,70,84
0085,8.837288,-0.19810703,-1.214882,99,71,85
0086,8.513706,-0.12234241,-1.2084224,83,72,86
0087,8.380511,-0.25656378,-1.2459652,100,73,87
0088,8.716548,-0.22012088,-1.2172962,65,74,88
0089,8.888729,-0.70715386,-1.1019379,64,75,89
0090,8.974128,-0.12739989,-1.2301383,78,76,90
0091,8.713452,-0.308683,-1.2105786,111,77,91
0092,9.006829,-0.70216775,-1.0626004,36,78,92
0095,8.55973,-0.26999328,-1.22212,98,81,95
0096,8.804611,-0.16318367,-1.2441674,86,82,96
0097,8.86308,-0.122028366,-1.2376907,71,83,97
0098,8.53624,-0.32521904,-1.2057365,78,84,98
0099,8.626146,-0.25400442,-1.2193265,80,85,99
0100,8.563425,-0.10120728,-1.2092255,73,86,100
0101,8.819479,0.035975963,-1.2699156,84,87,101
0102,8.710517,-0.1921934,-1.214854,83,88,102
0103,8.87081,-0.72124624,-1.0636628,20,89,103
0104,8.647057,-0.3459586,-1.1795126,97,90,104
0106,9.023244,-0.702762,-1.0934384,52,92,106
0107,9.038833,-0.687482,-1.1172049,71,93,107
0108,9.05227,-0.68829364,-1.1165034,74,94,108
0109,9.0524025,-0.70861775,-1.119092,84,95,109
0110,9.041105,-0.7143754,-1.1225607,84,96,110
0111,8.940719,-0.20974727,-1.2346169,76,97,111
0113,8.878318,-0.18608055,-1.2132832,104,99,113
0114,8.785642,-0.242511,-1.2699087,74,100,114
0115,9.105949,0.0728191,-1.2517259,74,101,115
0116,9.035754,-0.6858021,-1.106692,87,102,116
0117,8.804243,-0.047097996,-1.245361,64,103,117
0118,8.693349,-0.34871227,-1.231026,101,104,118
0119,8.6060915,-0.2907753,-1.2389553,89,105,119
0120,8.915124,-0.06262741,-1.2520181,81,106,120
0121,8.695655,-0.17527753,-1.2602514,67,107,121
0122,8.51481,-0.33387038,-1.2151507,83,108,122
0123,8.865015,-0.38750365,-1.2170352,75,109,123
0124,8.808762,-0.2107455,-1.2084154,107,110,124
0125,8.918841,-0.24915604,-1.2387743,74,111,125
0126,9.263451,-0.18741925,-1.2482225,57,112,126
0127,8.949329,-0.10644105,-1.2395233,86,113,127
0129,8.871661,-0.7858233,-1.1233739,67,115,129
0130,8.832366,-0.83597046,-1.0986332,71,116,130
0131,8.817987,-0.8346765,-1.1256633,89,117,131
0132,8.717583,-0.9180691,-1.1077602,72,118,132
0133,8.6823635,-0.96711737,-1.1148953,91,119,133
0134,8.626921,-0.9905274,-1.1183445,93,120,134
0135,9.008778,-0.7575614,-1.0639974,52,121,135
0136,8.543316,-1.0600686,-1.1396849,85,122,136
0138,8.485916,-1.0984051,-1.1348397,87,124,138
0139,8.485959,-1.1368626,-1.1364512,56,125,139
0140,8.536193,-1.0282459,-1.1364615,121,126,140
